id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35762762,studio a proximité de la cité du vin,142543857,Jonathan,Bordeaux,Bordeaux Maritime,44.8604,-0.55991,Entire home/apt,65,3,0,,,1,0
35768571,超级市中心的房子,246881542,Jiwen,Bordeaux,Centre ville (Bordeaux),44.84098,-0.5747,Private room,50,7,0,,,1,0
35777487,STUDIO 22m2 BORDEAUX,173639954,Snc Résidence Saint Genes,Bordeaux,Bordeaux Sud,44.82639,-0.55977,Entire home/apt,26,30,2,2020-07-11,0.08,11,66
35780508,Charming and peaceful house (15 min city center),187472776,Clement,Le Bouscat,Le Bouscat,44.85827,-0.60085,Entire home/apt,135,3,6,2020-08-23,0.26,1,200
35782392,T1 20m2 Lumineux 2eme étage,173639954,Snc Résidence Saint Genes,Bordeaux,Bordeaux Sud,44.82641,-0.55817,Entire home/apt,24,30,2,2020-07-11,0.13,11,48
35786980,Studio cosy proximité tram Bordeaux,96045644,Tanguy,Talence,Talence,44.8014,-0.58471,Entire home/apt,42,2,39,2020-06-06,1.62,1,225
35789335,☀️ Duplex apartment w/ 2 balconies & parking ☀️,269229893,Anne-Claire,Bordeaux,Nansouty - Saint Gens,44.82638,-0.57748,Entire home/apt,74,3,27,2020-07-30,1.12,1,132
35794655,"Maison moderne, proche Bordeaux avec piscine",13604454,Simon,Bouliac,Bouliac,44.82295,-0.50355,Entire home/apt,356,7,3,2020-08-22,0.27,1,8
35795069,Quiet room  2-3p AC 1st floor garden pool Tram C,13270894,Irène,Bgles,Bgles,44.79546,-0.56004,Private room,28,1,10,2019-06-26,0.41,2,0
35798922,Maison au calme cadre familiale,265959313,Lala,Lormont,Lormont,44.8706,-0.53123,Entire home/apt,70,2,0,,,1,0
35809847,Chambre à 5 mn à pied du tramway direct Bordeaux,55437702,Da,Merignac,Capeyron,44.84819,-0.64707,Private room,20,2,10,2019-07-17,0.41,2,0
35815488,Petite maison agréable à 10min de Bordeaux Centre,261726912,Alison,Cenon,Gambetta-Mairie-Lissandre,44.85,-0.53611,Entire home/apt,35,3,1,2019-06-18,0.04,1,0
35824264,Appartement cosy Bordeaux Centre,117006937,Cyrielle,Bordeaux,Centre ville (Bordeaux),44.84364,-0.5845,Entire home/apt,40,4,12,2019-08-12,0.52,1,132
